review,label
"Ray Milland qui a tourné dans presque 200 films s'est amusé à en réaliser 5.Celui est est le plus connu mais pas le meilleur. Il y a certes quelques séquences réussies mais beaucoup trop qui semblent fabriquées ,les comédiens manquent d'aisance et l'acteur lui même qui sait être excellent avec Hitchcock,Lang,Wilder, et surtout Farrow (the big clock-1948) a du mal à se diriger lui même. L'ambiance est ce qu'il y a de mieux .Imaginer une guerre atomique sans la voir était un pari réussi mais la volonté de trop montrer le mauvais coté de la nature humaine est bien trop excessive et démonstrative. Le contre exemple représenté par la femme du héros finit par agacer. D'autre part,un petit peu plus et nous étions dans un film d'horreur ,ce qui n'était pas le propos .A l'évidence Milland avait d'autres ambitions mais elles ne furent pas tenues. Le film a vieilli ,ce qui n'est jamais bon ,alors qu'avec plus de talent cinématographique il pourrait être encore précurseur puisque ces événements ne se sont pas produits et font partie d'un avenir hypothètique pessimiste. La façon de couper la circulation routière grâce à de l'essence enflammée est une bonne idée qui aurait pu être beaucoup plus spectaculaire même en 1962. Tout est un peu comme cela, tout ce qui est montré manque d'éclat , reste superficiel et ne nous touche pas assez.",0
le film est très mauvais car : trop peu d'actions effets spéciaux non tape-a-l’œil le perso principal est creux le jeu d'acteur n'est pas geniale toutefois le scenario est bon ( dans la norme ) je vous deconseile de le voir sauf si malheuresement vous voulez perdre votre temps,0
aie aie aie! En corse ça passait encore! Mais là c'est encore plus déprimant que saint-Tropez en hiver. Et c'est peu de le dire! Allez randonner plutôt que de perdre votre temps devant cette suite qui ne s'imposait vraiment pas.,0
"Encore un film iranien. Au fil des films qui arrivent en France, cette société islamique que nous ne comprenons pas, nous livre ses petits secrets et ses incohérences. Par exemple le changement de sexe est autorisé et même remboursé par l’état, un comble pour un pays dont la femme est considérée comme impure (voir le film iranien de Mehran Tamadon) et où l’homosexualité peut conduire à la peine capitale. C’est l’histoire de deux femmes (deux actrices formidables), l’une fait le taxi pour payer la sortie de prison de son mari, l’autre n’aspire qu’à une seul chose, devenir un homme. Ces deux femmes vont se rencontrer, ne pas se comprendre pour finalement s’entraider. Un très beau film avec une très forte morale sur la condition humaine et la religion. 4 étoiles",1
"Je ne me lancerai pas dans une analyse fine sur la réhabilitation de la banlieue au cinéma, ni sur les clichés sur l'univers du cinéma véhiculés par ce film, simplement parce que je trouve ce film dramatiquement plat et que d'autres l'ont déjà fait pour moi... Le film est juste tristement ennuyeux.",0
"Grâce à sa réalisation d'une remarquable qualité, ""April Snow"" parvient à nous envouter dès la première minute. Certes, certains pourront trouver ça un peu scolaire parfois, mais on ne peut nier l'efficacité de chaque plan, de chaque situation, de chaque silence. Jin-Ho Hur sait tirer au maximum parti de son histoire, et en rend chacune de ses étapes des plus saisissantes. On pourra quelque peu regretter que le film s'essouffle progressivement dans sa seconde moitié, mais l'impulsion de départ était telle qu'on reste à un très bon niveau. Il n'est pas impossible que certains s'y ennuieront à mourir, tant l'émotion passe par les silences, les non-dits, les expressions des visages. Pourtant c'est ce qui fait tout le charme de cet ""April Snow"" au combien rafiné et délicat.",1
"""Subway"":2ème réalisation de Luc Besson.Une plongée dans les méandres du métro parisien.Très avant-gardiste en 1985(musique,looks),Subway se regarde comme un tableau néo-moderne plus que comme un film au sens classique du terme.C'est plus cadré que ça en a l'air.Personnellement je n'ai pas adhéré,certaines scènes ont drolement vieillies.J'ai tout de meme aimé les personnages de Bacri et Galabru.Lambert est fade,Adjani agacante.Subway pose les jalons des futurs oeuvres de Besson,et semble inabouti scénaristiquement contrairement à l'esthétique pub.Pour les fans du réalisateur uniquement.",0
"Un ex-flic est infiltré dans une prison où des combats clandestins se déroulent. Ring of death multiplie les références aux poncifs du genre. Parmi eux, In hell, Coups pour coups, Scorpion... Le directeur de la prison imbu de sa propre personne et arrogant fait penser à Donald Sutherland dans Haute sécurité. Les combats sont violents, brutaux et sans concession. On plonge dans le mon du free fight underground pour entrevoir les plus bas instincts de l'homme. Les scènes de combat étant diffusé sur le net pour le plaisir des riches spectateurs pariant sur l'un des combattants. Malsain, voyeuriste, pervers, les adjectifs ne manquent pas pour définir ces vils enfoirés. Même si Ring of death n'a rien de bien original, il se révèle efficace et furieusement défoulant. Un excellent film d'action.",1
"Horsehead est une véritable surprise. Beaucoup moins film d'horreur que film d'auteur, le film de Basset bluffe par la qualité et l'originalité de ce qu'il délivre : le visuel (déférent et non pas référent à un certain cinéma d'épouvante d'exploitation des 70's) impressionne lors des scènes oniriques, des thématiques fortes (de la maternité à la transmission) traitées via le symbolisme des plans et la matière-cinéma elle-même plutôt que par les prémisses d'un scénario minimaliste (et c'est une très bonne chose), une bande son cousue main dont la modernité des pulsations technoïdes s'entrechoquent avec ces images gothiques ou giallesques à l'ADN daté. Un reproche tout de même : le film souffre de la générosité du premier film et peche parfois par excès. Une impression de boursouflement dans le montage hyper cut résiste à la fluidité de l'ensemble. Mais ne boudons pas le plaisir de ce spectacle inédit dans le paysage cinématographique français et, tant est que notre sensibilité résonne avec celle du film (c'est vrai, c'est LA condition pour profiter du voyage trippal proposé par Basset), profitons de l'opportunité de se rafraîchir le regard avec un film de genre définitivement unique.",1
"Plus que la controverse qui fit de ce film une victime des censeurs français pendant plus de trente ans, ce que La bataille d’Alger apporte à la grande histoire du 7ème art est un réalisme frappant dans le traitement de la reconstitution de l’opposition entre les indépendantistes algériens et les militaires. Gillo Pontecorvo ne cherche aucunement à porter un quelconque jugement sur les méthodes des deux camps, mais n’est uniquement animé que par une profonde volonté de reconstitution superbement détaillée de ces événements violents, la réussite de cet aspect documentaire est tel qu’aujourd’hui son long-métrage est devenu un sujet d’études pour les soldats américains se préparant à la guérilla urbaine en Irak. La personnalité trouble des deux personnages que sont Ali La Pointe et le Colonel Mathieu est un autre élément qui éloigne cette œuvre hors du commun du manichéisme inhérent aux habituels films de guerre. Sans conteste la seule approche valable que le cinéma ait fait de la guerre d’Algérie.",1
